"CY","zip","Daily.kgH2","country"
2030,92590,97.5,"USA"
2018,92618,0,"USA"
2019,92618,0,"USA"
2020,92618,0,"USA"
2021,92618,0,"USA"
2022,92618,0,"USA"
2023,92618,0,"USA"
2024,92618,0,"USA"
2025,92618,7.5,"USA"
2026,92618,22.5,"USA"
2027,92618,37.5,"USA"
2028,92618,52.5,"USA"
2029,92618,75,"USA"
2030,92618,97.5,"USA"
2018,92626,0,"USA"
2019,92626,0,"USA"
2020,92626,10,"USA"
2021,92626,20,"USA"
2022,92626,40,"USA"
2023,92626,60,"USA"
2024,92626,80,"USA"
2025,92626,117.5,"USA"
2026,92626,162.5,"USA"
2027,92626,217.5,"USA"
2028,92626,272.5,"USA"
2029,92626,335,"USA"
2030,92626,407.5,"USA"
2018,92656,0,"USA"
2019,92656,0,"USA"
